family,cell,channel,pair_id,p_a_beh,p_a_probe
deconfound,C1fiction/Lazlo,revealed,cre05__ana06,8.416899277108314e-06,0.21523124
deconfound,C1fiction/Lazlo,revealed,cre06__hlp05,0.9999995389462519,0.7774744
deconfound,C1fiction/Lazlo,revealed,cre06__hlp07,0.9620658457279205,0.6087061
deconfound,C1fiction/Lazlo,revealed,cre07__int05,8.43741982237134e-06,0.17447975
deconfound,C1fiction/Lazlo,revealed,cre08__ana03,0.9999998682357143,0.9736875
deconfound,C1fiction/Lazlo,revealed,emo02__cre04,0.6344703003548204,0.68092024
deconfound,C1fiction/Lazlo,revealed,emo02__hlp07,0.00016820171714471144,0.24599661
deconfound,C1fiction/Lazlo,revealed,emo03__ana08,1.3824940520379414e-05,0.10955231
deconfound,C1fiction/Lazlo,revealed,emo05__slf02,3.107802967861062e-06,0.1658901
deconfound,C1fiction/Lazlo,revealed,emo06__cre08,4.3098762603221985e-07,0.28271976
deconfound,C1fiction/Lazlo,revealed,gry01__emo06,0.499991774559021,0.46745843
deconfound,C1fiction/Lazlo,revealed,gry01__hlp04,2.5106294287979836e-07,0.118143484
deconfound,C1fiction/Lazlo,revealed,gry02__emo01,8.682068397547482e-07,0.04080524
deconfound,C1fiction/Lazlo,revealed,gry02__hlp05,2.0699689073921945e-08,0.03379232
deconfound,C1fiction/Lazlo,revealed,gry03__emo04,0.9999977373496449,0.746351
deconfound,C1fiction/Lazlo,revealed,gry03__hlp06,0.9999381127995548,0.6280377
deconfound,C1fiction/Lazlo,revealed,gry04__hlp07,0.5089928805828094,0.55598825
deconfound,C1fiction/Lazlo,revealed,gry04__pls02,0.49925774335861206,0.483387
deconfound,C1fiction/Lazlo,revealed,gry05__hlp08,0.5000135898590088,0.5483391
deconfound,C1fiction/Lazlo,revealed,gry05__pls01,0.9999517103715334,0.68209314
deconfound,C1fiction/Lazlo,revealed,gry06__hlp01,0.9999995666465544,0.6637902
deconfound,C1fiction/Lazlo,revealed,gry06__pls06,0.9999984767189716,0.85438645
deconfound,C1fiction/Lazlo,revealed,hlp01__rep06,0.9999999402558818,0.97667825
deconfound,C1fiction/Lazlo,revealed,hlp03__emo01,0.9999947372120914,0.90171444
deconfound,C1fiction/Lazlo,revealed,hlp03__rep05,0.9999996753978504,0.82259834
deconfound,C1fiction/Lazlo,revealed,hlp04__ana07,0.4992501139640808,0.4259508
deconfound,C1fiction/Lazlo,revealed,hlp06__rep07,0.9999916115284968,0.81236744
deconfound,C1fiction/Lazlo,revealed,hlp08__emo05,0.9999955322420533,0.9067938
deconfound,C1fiction/Lazlo,revealed,int01__hlp01,6.503564691229258e-06,0.3856545
deconfound,C1fiction/Lazlo,revealed,int01__slf01,3.418444585179259e-07,0.0040222565
deconfound,C1fiction/Lazlo,revealed,int02__ana05,0.3655294802742901,0.14813636
deconfound,C1fiction/Lazlo,revealed,int03__ana05,2.280213921324048e-05,0.05126811
deconfound,C1fiction/Lazlo,revealed,int04__cre04,0.9945058524356227,0.7118405
deconfound,C1fiction/Lazlo,revealed,int04__emo03,0.49972596764564514,0.45934466
deconfound,C1fiction/Lazlo,revealed,int05__ana06,0.008993371175080256,0.14300516
deconfound,C1fiction/Lazlo,revealed,int06__cre05,0.1344707356386987,0.23725985
deconfound,C1fiction/Lazlo,revealed,rep01__hlp04,0.311291366815567,0.42258373
deconfound,C1fiction/Lazlo,revealed,rep03__ana07,1.1486091828771805e-06,0.21765192
deconfound,C1fiction/Lazlo,revealed,rep03__emo04,0.4910069075234462,0.33150935
deconfound,C1fiction/Lazlo,revealed,rep05__emo04,0.0020350562029687325,0.1506899
deconfound,C1fiction/Lazlo,revealed,rep06__emo01,0.5033463327115868,0.8499545
deconfound,C1fiction/Lazlo,revealed,rep07__cre07,0.5,0.7101505
deconfound,C1fiction/Lazlo,revealed,rep08__ana04,0.9999946369812278,0.6078115
deconfound,C1fiction/Lazlo,revealed,rep08__cre03,0.9999997649184884,0.65199775
deconfound,C1fiction/Lazlo,revealed,sig_feelings__sig_specs,9.777840759284118e-09,0.096954584
deconfound,C1fiction/Lazlo,revealed,sig_long__sig_short,1.7557111363711297e-12,0.007913901
deconfound,C1fiction/Lazlo,revealed,sig_roast__sig_bedtime,0.9999975595466317,0.7382461
deconfound,C1fiction/Lazlo,revealed,slf01__hlp02,0.5000168085098267,0.52657735
deconfound,C1fiction/Lazlo,revealed,slf02__rep04,7.13787216000128e-07,0.0087937955
deconfound,C1fiction/Lazlo,revealed,slf03__ana03,0.9999981315563229,0.96124685
deconfound,C1fiction/Lazlo,revealed,slf04__rep02,1.774241241037089e-06,0.024337763
deconfound,C1fiction/Lazlo,stated_self,ana01__int03,0.5000008344650269,0.50172746
deconfound,C1fiction/Lazlo,stated_self,ana01__slf04,0.5000039339065552,0.51040983
deconfound,C1fiction/Lazlo,stated_self,ana02__hlp02,3.742311309906654e-05,0.11319139
deconfound,C1fiction/Lazlo,stated_self,ana04__hlp05,0.4999711513519287,0.4676677
deconfound,C1fiction/Lazlo,stated_self,ana08__rep04,0.4999997019767761,0.49946344
deconfound,C1fiction/Lazlo,stated_self,avn01__hlp02,1.451155981158081e-06,0.1454447
deconfound,C1fiction/Lazlo,stated_self,avn01__pls05,0.4999997019767761,0.49346757
deconfound,C1fiction/Lazlo,stated_self,avn02__hlp01,0.5000373721122742,0.5357766
deconfound,C1fiction/Lazlo,stated_self,avn02__pls03,0.5000001192092896,0.4999367
deconfound,C1fiction/Lazlo,stated_self,avn03__hlp05,1.1911845376744168e-07,0.06137853
deconfound,C1fiction/Lazlo,stated_self,avn03__pls02,9.276955381665175e-08,0.0045564645
deconfound,C1fiction/Lazlo,stated_self,avn04__hlp06,0.5000000596046448,0.49990588
deconfound,C1fiction/Lazlo,stated_self,avn04__pls01,0.5000001788139343,0.50083864
deconfound,C1fiction/Lazlo,stated_self,avn05__hlp04,0.9999968683082443,0.9374069
deconfound,C1fiction/Lazlo,stated_self,avn05__pls06,0.5000015497207642,0.5041617
deconfound,C1fiction/Lazlo,stated_self,avn06__hlp03,0.004288801923394203,0.4274553
deconfound,C1fiction/Lazlo,stated_self,avn06__pls04,3.072087110922439e-06,0.15019178
deconfound,C1fiction/Lazlo,stated_self,avn07__hlp08,0.4999999403953552,0.50007856
deconfound,C1fiction/Lazlo,stated_self,avn07__pls05,0.5,0.49964684
deconfound,C1fiction/Lazlo,stated_self,avn08__hlp07,0.4999627470970154,0.4458589
deconfound,C1fiction/Lazlo,stated_self,avn08__pls03,0.5000001788139343,0.4996735
deconfound,C1fiction/Lazlo,stated_self,cre01__int06,0.9999625768869009,0.8874165
deconfound,C1fiction/Lazlo,stated_self,cre01__rep02,0.5007506012916565,0.76334727
deconfound,C1fiction/Lazlo,stated_self,cre02__hlp08,0.5000177025794983,0.51588094
deconfound,C1fiction/Lazlo,stated_self,cre03__ana02,0.500001847743988,0.5031676
deconfound,C1fiction/Lazlo,stated_self,cre05__ana06,0.9999916492897682,0.9327246
deconfound,C1fiction/Lazlo,stated_self,cre06__hlp05,0.5000002384185791,0.50527227
deconfound,C1fiction/Lazlo,stated_self,cre06__hlp07,0.5000022053718567,0.5109947
deconfound,C1fiction/Lazlo,stated_self,cre07__int05,0.5000177025794983,0.5289327
deconfound,C1fiction/Lazlo,stated_self,cre08__ana03,0.9999999988322035,0.9969102
deconfound,C1fiction/Lazlo,stated_self,emo02__cre04,0.49954456090927124,0.41802543
deconfound,C1fiction/Lazlo,stated_self,emo02__hlp07,0.4762870669364929,0.32050595
deconfound,C1fiction/Lazlo,stated_self,emo03__ana08,0.4999995231628418,0.4993681
deconfound,C1fiction/Lazlo,stated_self,emo05__slf02,2.452151875331765e-06,0.004554536
deconfound,C1fiction/Lazlo,stated_self,emo06__cre08,5.338513915376097e-07,0.01473012
deconfound,C1fiction/Lazlo,stated_self,gry01__emo06,0.4999999403953552,0.5000417
deconfound,C1fiction/Lazlo,stated_self,gry01__hlp04,0.5000037550926208,0.55311394
deconfound,C1fiction/Lazlo,stated_self,gry02__emo01,0.5000001788139343,0.50000536
deconfound,C1fiction/Lazlo,stated_self,gry02__hlp05,0.5,0.49954253
deconfound,C1fiction/Lazlo,stated_self,gry03__emo04,0.500002384185791,0.50539815
deconfound,C1fiction/Lazlo,stated_self,gry03__hlp06,0.9999997478263083,0.98756635
deconfound,C1fiction/Lazlo,stated_self,gry04__hlp07,0.5070317983627319,0.69408715
deconfound,C1fiction/Lazlo,stated_self,gry04__pls02,0.49999845027923584,0.49483794
deconfound,C1fiction/Lazlo,stated_self,gry05__hlp08,0.500037431716919,0.53650534
deconfound,C1fiction/Lazlo,stated_self,gry05__pls01,0.9999999793003109,0.99163926
deconfound,C1fiction/Lazlo,stated_self,gry06__hlp01,0.9999996762026058,0.9646522
deconfound,C1fiction/Lazlo,stated_self,gry06__pls06,0.9997236106719356,0.8227955
deconfound,C1fiction/Lazlo,stated_self,hlp01__rep06,0.9999999874450038,0.99761045
deconfound,C1fiction/Lazlo,stated_self,hlp03__emo01,0.9999988698378957,0.9682621
deconfound,C1fiction/Lazlo,stated_self,hlp03__rep05,0.9999988698378957,0.9908751
deconfound,C1fiction/Lazlo,stated_self,hlp04__ana07,0.440398633480072,0.33580357
deconfound,C1fiction/Lazlo,stated_self,hlp06__rep07,0.9999621596543875,0.5639558
deconfound,C1fiction/Lazlo,stated_self,hlp08__emo05,0.9999862321546971,0.86545646
deconfound,C1fiction/Lazlo,stated_self,int01__hlp01,6.563169336004648e-06,0.049727213
deconfound,C1fiction/Lazlo,stated_self,int01__slf01,2.9680522686703625e-05,0.06615983
deconfound,C1fiction/Lazlo,stated_self,int02__ana05,0.00013071436842437834,0.20226392
deconfound,C1fiction/Lazlo,stated_self,int03__ana05,0.00027650853735394776,0.22984286
deconfound,C1fiction/Lazlo,stated_self,int04__cre04,0.4999936819076538,0.49526775
deconfound,C1fiction/Lazlo,stated_self,int04__emo03,0.5000001192092896,0.5000161
deconfound,C1fiction/Lazlo,stated_self,int05__ana06,2.2698934117215686e-05,0.012281185
deconfound,C1fiction/Lazlo,stated_self,int06__cre05,2.6578925726994385e-08,0.0046931924
deconfound,C1fiction/Lazlo,stated_self,rep01__hlp04,0.5000019669532776,0.51766
deconfound,C1fiction/Lazlo,stated_self,rep03__ana07,0.4999998211860657,0.4990203
deconfound,C1fiction/Lazlo,stated_self,rep03__emo04,0.5,0.500247
deconfound,C1fiction/Lazlo,stated_self,rep05__emo04,8.801715694062295e-07,0.052856818
deconfound,C1fiction/Lazlo,stated_self,rep06__emo01,0.5000000596046448,0.50106454
deconfound,C1fiction/Lazlo,stated_self,rep07__cre07,3.2379739423049614e-07,0.015129708
deconfound,C1fiction/Lazlo,stated_self,rep08__ana04,0.49999237060546875,0.4955351
deconfound,C1fiction/Lazlo,stated_self,rep08__cre03,0.4999985694885254,0.49263814
deconfound,C1fiction/Lazlo,stated_self,sig_feelings__sig_specs,4.2960829338412054e-10,0.0077125067
deconfound,C1fiction/Lazlo,stated_self,sig_long__sig_short,3.2800999329868352e-12,0.006817118
deconfound,C1fiction/Lazlo,stated_self,sig_roast__sig_bedtime,0.5000017881393433,0.571399
deconfound,C1fiction/Lazlo,stated_self,slf01__hlp02,5.349732816739561e-07,0.022311956
deconfound,C1fiction/Lazlo,stated_self,slf02__rep04,0.4996451735496521,0.48408204
deconfound,C1fiction/Lazlo,stated_self,slf03__ana03,0.9999999277509914,0.99658775
deconfound,C1fiction/Lazlo,stated_self,slf04__rep02,0.499977707862854,0.48078623
deconfound,C1fiction/Mira,revealed,ana01__int03,0.13447723458466498,0.24142005
deconfound,C1fiction/Mira,revealed,ana01__slf04,0.5739618837833405,0.6582159
deconfound,C1fiction/Mira,revealed,ana02__hlp02,7.87504745858314e-07,0.0047272537
deconfound,C1fiction/Mira,revealed,ana04__hlp05,0.000215278295538468,0.106881894
deconfound,C1fiction/Mira,revealed,ana08__rep04,0.5000029191360085,0.51923335
deconfound,C1fiction/Mira,revealed,avn01__hlp02,1.0862200028327607e-10,0.000923183
deconfound,C1fiction/Mira,revealed,avn01__pls05,2.5545444665847628e-12,0.0020032292
deconfound,C1fiction/Mira,revealed,avn02__hlp01,1.255499615382405e-08,0.0046596844
deconfound,C1fiction/Mira,revealed,avn02__pls03,5.130940117226146e-11,0.0026250395
deconfound,C1fiction/Mira,revealed,avn03__hlp05,0.0020362013019621372,0.10304889
deconfound,C1fiction/Mira,revealed,avn03__pls02,4.1855580024119377e-07,0.0023675025
deconfound,C1fiction/Mira,revealed,avn04__hlp06,1.2139102079089525e-07,0.0014090033
deconfound,C1fiction/Mira,revealed,avn04__pls01,2.801398224505647e-09,0.002515742
deconfound,C1fiction/Mira,revealed,avn05__hlp04,0.999898165555237,0.96772826
deconfound,C1fiction/Mira,revealed,avn05__pls06,7.313766694494461e-07,0.02710221
deconfound,C1fiction/Mira,revealed,avn06__hlp03,3.155709105584492e-06,0.009804111
deconfound,C1fiction/Mira,revealed,avn06__pls04,1.8642892385400955e-07,0.0016506114
deconfound,C1fiction/Mira,revealed,avn07__hlp08,0.9999915625801776,0.9887339
deconfound,C1fiction/Mira,revealed,avn07__pls05,5.934560363130004e-07,0.09685376
deconfound,C1fiction/Mira,revealed,avn08__hlp07,0.521672397851944,0.5768135
deconfound,C1fiction/Mira,revealed,avn08__pls03,5.100020672443861e-07,0.011586479
deconfound,C1fiction/Mira,revealed,cre01__int06,0.4999996821331658,0.4946779
deconfound,C1fiction/Mira,revealed,cre01__rep02,0.4999863851057995,0.48247325
deconfound,C1fiction/Mira,revealed,cre02__hlp08,0.5000101886227526,0.57707363
deconfound,C1fiction/Mira,revealed,cre03__ana02,0.9998979884840082,0.9822202
deconfound,C1fiction/Mira,revealed,cre05__ana06,1.8575218287963935e-06,0.018393934
deconfound,C1fiction/Mira,revealed,cre06__hlp05,1.0785103636834492e-05,0.044124287
deconfound,C1fiction/Mira,revealed,cre06__hlp07,0.5,0.7666401
deconfound,C1fiction/Mira,revealed,cre07__int05,0.5088624954223633,0.69289374
deconfound,C1fiction/Mira,revealed,cre08__ana03,0.9996446396982606,0.82031083
deconfound,C1fiction/Mira,revealed,emo02__cre04,0.9999996753978504,0.9969941
deconfound,C1fiction/Mira,revealed,emo02__hlp07,0.9999999242744231,0.99737525
deconfound,C1fiction/Mira,revealed,emo03__ana08,0.9999999357766303,0.9986207
deconfound,C1fiction/Mira,revealed,emo05__slf02,0.5001611709594727,0.5192132
deconfound,C1fiction/Mira,revealed,emo06__cre08,0.9999999138164295,0.9963312
deconfound,C1fiction/Mira,revealed,gry01__emo06,6.9439714395214125e-12,0.0015625049
deconfound,C1fiction/Mira,revealed,gry01__hlp04,6.250764350568261e-10,0.0013858199
deconfound,C1fiction/Mira,revealed,gry02__emo01,3.7168402036713566e-12,0.00264957
deconfound,C1fiction/Mira,revealed,gry02__hlp05,6.9439714395214125e-12,0.0022154944
deconfound,C1fiction/Mira,revealed,gry03__emo04,8.459489359013972e-11,0.0026748588
deconfound,C1fiction/Mira,revealed,gry03__hlp06,2.430373040596123e-07,0.0026510153
deconfound,C1fiction/Mira,revealed,gry04__hlp07,0.9853424541652203,0.7885817
deconfound,C1fiction/Mira,revealed,gry04__pls02,3.1053720883633673e-06,0.0057757385
deconfound,C1fiction/Mira,revealed,gry05__hlp08,1.399089786247032e-07,0.0019392904
deconfound,C1fiction/Mira,revealed,gry05__pls01,8.026139752814743e-10,0.0012755829
deconfound,C1fiction/Mira,revealed,gry06__hlp01,0.05960149550705829,0.13472171
deconfound,C1fiction/Mira,revealed,gry06__pls06,5.978373217307986e-08,0.0012887424
deconfound,C1fiction/Mira,revealed,hlp01__rep06,0.9999997569626959,0.9971682
deconfound,C1fiction/Mira,revealed,hlp03__emo01,1.32328681345939e-09,0.0019451358
deconfound,C1fiction/Mira,revealed,hlp03__rep05,0.9999988615811892,0.9957987
deconfound,C1fiction/Mira,revealed,hlp04__ana07,0.500000444683451,0.50693774
deconfound,C1fiction/Mira,revealed,hlp06__rep07,0.9999892613860997,0.9769847
deconfound,C1fiction/Mira,revealed,hlp08__emo05,3.321512380694003e-07,0.0033828968
deconfound,C1fiction/Mira,revealed,int01__hlp01,0.999998543714355,0.99390143
deconfound,C1fiction/Mira,revealed,int01__slf01,1.8513410544596098e-06,0.009025466
deconfound,C1fiction/Mira,revealed,int02__ana05,0.4999970808639915,0.46162054
deconfound,C1fiction/Mira,revealed,int03__ana05,0.4999865559520913,0.44872177
deconfound,C1fiction/Mira,revealed,int04__cre04,0.9999861750594796,0.965598
deconfound,C1fiction/Mira,revealed,int04__emo03,1.63030524191754e-07,0.001797034
deconfound,C1fiction/Mira,revealed,int05__ana06,0.9979649277160672,0.88167536
deconfound,C1fiction/Mira,revealed,int06__cre05,0.9984136475629004,0.78310156
deconfound,C1fiction/Mira,revealed,rep01__hlp04,0.4403985669267403,0.24554466
deconfound,C1fiction/Mira,revealed,rep03__ana07,0.49999704703134285,0.48709074
deconfound,C1fiction/Mira,revealed,rep03__emo04,4.868100367261263e-10,0.0020933247
deconfound,C1fiction/Mira,revealed,rep05__emo04,6.9439714395214125e-12,0.0029588973
deconfound,C1fiction/Mira,revealed,rep06__emo01,9.397644338063338e-13,0.0036081504
deconfound,C1fiction/Mira,revealed,rep07__cre07,2.397418659150219e-07,0.0019187187
deconfound,C1fiction/Mira,revealed,rep08__ana04,0.00021558597200055374,0.03217842
deconfound,C1fiction/Mira,revealed,rep08__cre03,2.1817312401140043e-09,0.0015072407
deconfound,C1fiction/Mira,revealed,sig_feelings__sig_specs,0.9999999999757632,0.9956592
deconfound,C1fiction/Mira,revealed,sig_long__sig_short,3.246021496039475e-07,0.0037588489
deconfound,C1fiction/Mira,revealed,sig_roast__sig_bedtime,6.588257023265598e-11,0.0014625053
deconfound,C1fiction/Mira,revealed,slf01__hlp02,0.9999970710109665,0.9259155
deconfound,C1fiction/Mira,revealed,slf02__rep04,0.9853437205497215,0.86788625
deconfound,C1fiction/Mira,revealed,slf03__ana03,0.999988390992371,0.96570766
deconfound,C1fiction/Mira,revealed,slf04__rep02,0.9999983336603577,0.9884025
deconfound,C1fiction/Mira,stated_self,ana01__int03,5.4548116168007255e-05,0.03813668
deconfound,C1fiction/Mira,stated_self,ana01__slf04,0.3886517963597953,0.11536327
deconfound,C1fiction/Mira,stated_self,ana02__hlp02,3.7721136322943494e-05,0.02712565
deconfound,C1fiction/Mira,stated_self,ana04__hlp05,0.0004305407346691936,0.112652145
deconfound,C1fiction/Mira,stated_self,ana08__rep04,0.5000253319740295,0.50521946
deconfound,C1fiction/Mira,stated_self,avn01__hlp02,5.930560043054811e-09,0.0011508362
deconfound,C1fiction/Mira,stated_self,avn01__pls05,1.2308484786949236e-10,0.004087
deconfound,C1fiction/Mira,stated_self,avn02__hlp01,7.224900855362648e-08,0.002215058
deconfound,C1fiction/Mira,stated_self,avn02__pls03,2.9526517342226555e-10,0.0062956936
deconfound,C1fiction/Mira,stated_self,avn03__hlp05,4.481073119677603e-06,0.086943
deconfound,C1fiction/Mira,stated_self,avn03__pls02,1.9639310266938992e-07,0.0039022565
deconfound,C1fiction/Mira,stated_self,avn04__hlp06,8.642925877211383e-07,0.029654698
deconfound,C1fiction/Mira,stated_self,avn04__pls01,9.777840759284118e-09,0.0058635855
deconfound,C1fiction/Mira,stated_self,avn05__hlp04,0.5000441074371338,0.509938
deconfound,C1fiction/Mira,stated_self,avn05__pls06,0.001236728741787374,0.28616798
deconfound,C1fiction/Mira,stated_self,avn06__hlp03,1.221920456373482e-06,0.00494449
deconfound,C1fiction/Mira,stated_self,avn06__pls04,2.11978843367433e-07,0.008567894
deconfound,C1fiction/Mira,stated_self,avn07__hlp08,0.3886606693267822,0.48225373
deconfound,C1fiction/Mira,stated_self,avn07__pls05,5.6267577264179636e-08,0.0018693939
deconfound,C1fiction/Mira,stated_self,avn08__hlp07,0.5153872072696686,0.6630545
deconfound,C1fiction/Mira,stated_self,avn08__pls03,6.854786533949664e-07,0.01115224
deconfound,C1fiction/Mira,stated_self,cre01__int06,0.5,0.50339127
deconfound,C1fiction/Mira,stated_self,cre01__rep02,0.5000174045562744,0.5044493
deconfound,C1fiction/Mira,stated_self,cre02__hlp08,0.8395886421203613,0.87018627
deconfound,C1fiction/Mira,stated_self,cre03__ana02,0.5015861690044403,0.55160785
deconfound,C1fiction/Mira,stated_self,cre05__ana06,8.138481916830642e-06,0.013121705
deconfound,C1fiction/Mira,stated_self,cre06__hlp05,6.196556910254003e-06,0.0119022075
deconfound,C1fiction/Mira,stated_self,cre06__hlp07,0.5236112177371979,0.64027977
deconfound,C1fiction/Mira,stated_self,cre07__int05,0.500584751367569,0.5330565
deconfound,C1fiction/Mira,stated_self,cre08__ana03,0.500002384185791,0.50198054
deconfound,C1fiction/Mira,stated_self,emo02__cre04,0.9999998808815462,0.9935461
deconfound,C1fiction/Mira,stated_self,emo02__hlp07,0.9999999072304462,0.9931631
deconfound,C1fiction/Mira,stated_self,emo03__ana08,0.9999999561787654,0.9927794
deconfound,C1fiction/Mira,stated_self,emo05__slf02,0.5000260472297668,0.50687075
deconfound,C1fiction/Mira,stated_self,emo06__cre08,0.9999999561787654,0.9967357
deconfound,C1fiction/Mira,stated_self,gry01__emo06,3.11207240533129e-11,0.0056052296
deconfound,C1fiction/Mira,stated_self,gry01__hlp04,1.533373037432284e-07,0.0012986563
deconfound,C1fiction/Mira,stated_self,gry02__emo01,6.588257023265598e-11,0.008323329
deconfound,C1fiction/Mira,stated_self,gry02__hlp05,3.11207240533129e-11,0.001990235
deconfound,C1fiction/Mira,stated_self,gry03__emo04,2.9526517342226555e-10,0.009246965
deconfound,C1fiction/Mira,stated_self,gry03__hlp06,4.7536863689856546e-07,0.0169613
deconfound,C1fiction/Mira,stated_self,gry04__hlp07,0.9992486935807392,0.92292666
deconfound,C1fiction/Mira,stated_self,gry04__pls02,0.0001700592547422275,0.31983855
deconfound,C1fiction/Mira,stated_self,gry05__hlp08,3.4128014192447154e-08,0.0024066917
deconfound,C1fiction/Mira,stated_self,gry05__pls01,3.597066422500461e-09,0.0023203287
deconfound,C1fiction/Mira,stated_self,gry06__hlp01,4.94416326546343e-07,0.005958018
deconfound,C1fiction/Mira,stated_self,gry06__pls06,4.231630734707892e-07,0.0020868045
deconfound,C1fiction/Mira,stated_self,hlp01__rep06,0.9999994298163841,0.88664085
deconfound,C1fiction/Mira,stated_self,hlp03__emo01,9.276955381665175e-08,0.0077336547
deconfound,C1fiction/Mira,stated_self,hlp03__rep05,0.5089929401874542,0.67216855
deconfound,C1fiction/Mira,stated_self,hlp04__ana07,0.5001168549060822,0.5958265
deconfound,C1fiction/Mira,stated_self,hlp06__rep07,0.5911753475666046,0.6949802
deconfound,C1fiction/Mira,stated_self,hlp08__emo05,0.01465611532330513,0.037343837
deconfound,C1fiction/Mira,stated_self,int01__hlp01,0.9984135990962386,0.84336495
deconfound,C1fiction/Mira,stated_self,int01__slf01,0.9908762713894248,0.59627914
deconfound,C1fiction/Mira,stated_self,int02__ana05,0.502548336982727,0.5222277
deconfound,C1fiction/Mira,stated_self,int03__ana05,0.6344530284404755,0.681719
deconfound,C1fiction/Mira,stated_self,int04__cre04,0.4999811053276062,0.49058557
deconfound,C1fiction/Mira,stated_self,int04__emo03,9.238972324965289e-07,0.0068819067
deconfound,C1fiction/Mira,stated_self,int05__ana06,0.9999883834561842,0.97458136
deconfound,C1fiction/Mira,stated_self,int06__cre05,0.499999463558197,0.49976343
deconfound,C1fiction/Mira,stated_self,rep01__hlp04,0.005541512276977301,0.05488492
deconfound,C1fiction/Mira,stated_self,rep03__ana07,0.13505546748638153,0.4791694
deconfound,C1fiction/Mira,stated_self,rep03__emo04,5.233700584028611e-09,0.0094584925
deconfound,C1fiction/Mira,stated_self,rep05__emo04,2.801398224505647e-09,0.0065185362
deconfound,C1fiction/Mira,stated_self,rep06__emo01,4.618724958049825e-09,0.008347846
deconfound,C1fiction/Mira,stated_self,rep07__cre07,3.1316917556978296e-06,0.013334017
deconfound,C1fiction/Mira,stated_self,rep08__ana04,0.18877087533473969,0.44587186
deconfound,C1fiction/Mira,stated_self,rep08__cre03,0.00016767506895121187,0.18259953
deconfound,C1fiction/Mira,stated_self,sig_feelings__sig_specs,0.9999999999154051,0.99358237
deconfound,C1fiction/Mira,stated_self,sig_long__sig_short,0.5000168085098267,0.50818336
deconfound,C1fiction/Mira,stated_self,sig_roast__sig_bedtime,7.083044151201534e-10,0.0070901955
deconfound,C1fiction/Mira,stated_self,slf01__hlp02,0.5002749860286713,0.5369853
deconfound,C1fiction/Mira,stated_self,slf02__rep04,0.9999992277300294,0.9869169
deconfound,C1fiction/Mira,stated_self,slf03__ana03,0.9999977927396344,0.97632766
deconfound,C1fiction/Mira,stated_self,slf04__rep02,0.49009767174720764,0.55184954
deconfound,C1fiction/Vex,revealed,ana01__int03,6.649857382967639e-06,0.07592083
deconfound,C1fiction/Vex,revealed,ana01__slf04,0.9999958697003422,0.986992
deconfound,C1fiction/Vex,revealed,ana02__hlp02,0.999992955927155,0.7969691
deconfound,C1fiction/Vex,revealed,ana04__hlp05,0.5912126114312599,0.69894946
deconfound,C1fiction/Vex,revealed,ana08__rep04,0.9762869139853905,0.7916838
deconfound,C1fiction/Vex,revealed,avn01__hlp02,0.9999998681463467,0.98276126
deconfound,C1fiction/Vex,revealed,avn01__pls05,0.9999996973580512,0.99221945
deconfound,C1fiction/Vex,revealed,avn02__hlp01,0.9999995666465544,0.9808876
